category	time	position	Fst	pi	Dxy	T
swp	0	670000	0.056947109344	0.0002663019488	1.71636077944394e-05	20
neu	1	670000	0.056224604	0.0002662871934	1.72884306985072e-05	40
swp	1	670000	0.080001757692	0.0002568857828	2.43437994680586e-05	40
neu	2	670000	0.055685983648	0.000267006429	1.69172970149732e-05	60
swp	2	670000	0.10371910234	0.0002442101584	3.1298848653133e-05	60
neu	3	670000	0.054340980194	0.0002664430646	1.63150434799096e-05	80
swp	3	670000	0.11559373132	0.0002391590788	3.51560864232177e-05	80
neu	4	670000	0.055652423484	0.0002654991892	1.70490385203205e-05	100
swp	4	670000	0.11977530444	0.0002385288748	3.67102497020217e-05	100
neu	5	670000	0.0562913305370741	0.000266639317034068	1.71797162878399e-05	200
swp	5	670000	0.12748998008	0.000237611402	3.96787753325033e-05	200
neu	6	670000	0.0589897572204409	0.000265459714028056	1.80844916846268e-05	300
swp	6	670000	0.132360933428	0.00024000289664	4.05056261920563e-05	300
neu	7	670000	0.0592199377955912	0.000264255106012024	1.83392485514476e-05	400
swp	7	670000	0.13698552546	0.0002406179342	4.22943212096462e-05	400
neu	8	670000	0.0589195434669339	0.000264990438677355	1.77291190218671e-05	500
swp	8	670000	0.1395569183	0.0002428044464	4.31915041862683e-05	500
neu	0	690000	0.05491435978	0.0002687134576	1.66968895667955e-05	20
swp	0	690000	0.05741949206	0.0002644348488	1.74796655033575e-05	20
neu	1	690000	0.054284405062	0.0002680394698	1.65741825950473e-05	40
swp	1	690000	0.07733261082	0.0002562015324	2.28892142231932e-05	40
neu	2	690000	0.055809238354	0.0002676423868	1.70173207234138e-05	60
swp	2	690000	0.102722075	0.0002447881724	3.04252034754376e-05	60
neu	3	690000	0.0550630836092184	0.000268763809418838	1.68355512024569e-05	80
swp	3	690000	0.11385088532	0.0002394551688	3.43989177152149e-05	80
neu	4	690000	0.05583838934	0.0002672394698	1.69332101414813e-05	100
swp	4	690000	0.11600223806	0.0002381357024	3.48719735525097e-05	100
neu	5	690000	0.0568314518617234	0.00026767513246493	1.72426554909363e-05	200
swp	5	690000	0.1254023477	0.0002372213608	3.78285580912852e-05	200
neu	6	690000	0.0595014361122244	0.00026633670260521	1.83153788364887e-05	300
swp	6	690000	0.12891624366	0.0002383626532	3.96800897426635e-05	300
neu	7	690000	0.0586799329859719	0.000265068176953908	1.80104521800522e-05	400
swp	7	690000	0.13345243052	0.000240339994	4.1551203305194e-05	400
neu	8	690000	0.0603047761162325	0.000264070261923848	1.82988077992617e-05	500
swp	8	690000	0.1361874318	0.0002412013694	4.26843776518521e-05	500
neu	0	710000	0.055859818364	0.0002621987244	1.68198878206397e-05	20
swp	0	710000	0.059523438198	0.0002679321324	1.87289426237555e-05	20
neu	1	710000	0.05487087316	0.0002606342818	1.65131369925797e-05	40
swp	1	710000	0.08043959582	0.0002591943358	2.47783679305061e-05	40
neu	2	710000	0.057045400518	0.0002606831734	1.71601789974065e-05	60
swp	2	710000	0.10721720132	0.0002459577536	3.31933709783465e-05	60
neu	3	710000	0.056206982908	0.000261041219	1.6819550409175e-05	80
swp	3	710000	0.1173777616	0.0002418957072	3.60609857485741e-05	80
neu	4	710000	0.055515963294	0.00025999066	1.66200475735672e-05	100
swp	4	710000	0.12332845254	0.0002388092436	3.81975928198584e-05	100
neu	5	710000	0.0582722618537074	0.000258481359519038	1.73311992296368e-05	200
swp	5	710000	0.12912468266	0.000237572894	3.95488647863801e-05	200
neu	6	710000	0.0581275188977956	0.000258952160521042	1.70230220105358e-05	300
swp	6	710000	0.13458674702	0.0002395580978	4.13256891261282e-05	300
neu	7	710000	0.0555859376753507	0.000259387913226453	1.60656482235145e-05	400
swp	7	710000	0.13891519548	0.0002415902678	4.34459945690271e-05	400
neu	8	710000	0.0576493272953908	0.000258253977154309	1.69145848846006e-05	500
swp	8	710000	0.144649016	0.0002413379674	4.53410077612811e-05	500
neu	0	730000	0.055541534016	0.0002717119534	1.69894259610423e-05	20
swp	0	730000	0.05729113407	0.0002667792016	1.72104081862986e-05	20
neu	1	730000	0.0543845794	0.0002701748212	1.65475627284688e-05	40
swp	1	730000	0.078136348314	0.0002554678194	2.35925933386087e-05	40
neu	2	730000	0.05554930528	0.0002711953296	1.67716112667903e-05	60
swp	2	730000	0.1054566694	0.0002422301394	3.19514748427588e-05	60
neu	3	730000	0.05522277757	0.000271209929	1.63256687645375e-05	80
swp	3	730000	0.11681451864	0.0002369649554	3.50775426073057e-05	80
neu	4	730000	0.0558109217	0.0002705200276	1.64808560272208e-05	100
swp	4	730000	0.12307638852	0.0002336639738	3.74983733023945e-05	100
neu	5	730000	0.0560724871142285	0.000268858573346693	1.66109179213755e-05	200
swp	5	730000	0.12851983766	0.0002320942026	3.85589921706894e-05	200
neu	6	730000	0.0577537101543086	0.000266880899599198	1.68554570385343e-05	300
swp	6	730000	0.13190751802	0.0002329329764	3.90802003621347e-05	300
neu	7	730000	0.0561580359318637	0.000266736438476954	1.6294838496111e-05	400
swp	7	730000	0.13319129104	0.0002345115342	3.95075301539713e-05	400
neu	8	730000	0.0581877257314629	0.000265770873346693	1.70006570382721e-05	500
swp	8	730000	0.13922600726	0.000235570792	4.22111427529359e-05	500
neu	0	750000	0.057500600948	0.0002629663744	1.70371042658498e-05	20
swp	0	750000	0.055364278496	0.0002778429574	1.8048224987138e-05	20
neu	1	750000	0.057663660824	0.00026196081	1.73841310998722e-05	40
swp	1	750000	0.075401194676	0.0002652748854	2.43969764953778e-05	40
neu	2	750000	0.05850361391	0.0002622497128	1.73168331853819e-05	60
swp	2	750000	0.10383263672	0.0002515078584	3.40967713963195e-05	60
neu	3	750000	0.057155465744	0.0002621046336	1.68446611659436e-05	80
swp	3	750000	0.11607677192	0.0002452439176	3.82119152682222e-05	80
neu	4	750000	0.0582452028	0.0002620320674	1.75128941567629e-05	100
swp	4	750000	0.12237484394	0.0002423805102	3.99801339752826e-05	100
neu	5	750000	0.0564849716432866	0.000262141134068136	1.67001177277237e-05	200
swp	5	750000	0.12966097162	0.0002403067966	4.26826374747031e-05	200
neu	6	750000	0.0546091671374749	0.000260634784769539	1.62643332620003e-05	300
swp	6	750000	0.13001086072	0.0002415783356	4.22043242257114e-05	300
neu	7	750000	0.0567299005591182	0.000260448923246493	1.69206496542583e-05	400
swp	7	750000	0.13660281456	0.0002435239908	4.52146614150627e-05	400
neu	8	750000	0.0581359241282565	0.000258752773146293	1.72928484760398e-05	500
swp	8	750000	0.14145733166	0.000246028275	4.71205264435274e-05	500
neu	0	770000	0.05879138922	0.0002664798926	1.78388604815669e-05	20
swp	0	770000	0.058842687586	0.0002657325582	1.92263183858801e-05	20
